,tau,kappa,beta,sigma,delta_t,avg_reward
0,1.0,1.0,0.0,0.5,1.0,2.104611634367741
1,1.0,1.0,0.0,0.5,2.0,2.0504131516031707
2,1.0,1.0,0.0,0.5,3.0,1.865308244108169
3,1.0,1.0,0.0,0.5,4.0,2.3838165417513704
4,1.0,1.0,0.0,0.5,5.0,2.5684862839954787
5,1.0,1.0,0.0,2.875,1.0,1.8121728557210548
6,1.0,1.0,0.0,2.875,2.0,1.9863636768927921
7,1.0,1.0,0.0,2.875,3.0,1.889338726113948
8,1.0,1.0,0.0,2.875,4.0,1.9685342510631578
9,1.0,1.0,0.0,2.875,5.0,2.2794332383103053
10,1.0,1.0,0.0,5.25,1.0,2.204733223583186
11,1.0,1.0,0.0,5.25,2.0,2.273496873395854
12,1.0,1.0,0.0,5.25,3.0,2.4750518337770204
13,1.0,1.0,0.0,5.25,4.0,2.0760215567985325
14,1.0,1.0,0.0,5.25,5.0,2.4061398660439353
15,1.0,1.0,0.0,7.625,1.0,2.2449615510093697
16,1.0,1.0,0.0,7.625,2.0,2.2434986609175285
17,1.0,1.0,0.0,7.625,3.0,2.1520972520703596
18,1.0,1.0,0.0,7.625,4.0,2.070537092933529
19,1.0,1.0,0.0,7.625,5.0,2.3550118730107097
20,1.0,1.0,0.0,10.0,1.0,2.4295594769793114
21,1.0,1.0,0.0,10.0,2.0,2.3238373063008066
22,1.0,1.0,0.0,10.0,3.0,2.2207089920135834
23,1.0,1.0,0.0,10.0,4.0,2.003518089440422
24,1.0,1.0,0.0,10.0,5.0,2.256683723635036
25,1.0,1.0,0.0025,0.5,1.0,2.5772764428272965
26,1.0,1.0,0.0025,0.5,2.0,2.21366373045323
27,1.0,1.0,0.0025,0.5,3.0,2.090533947330603
28,1.0,1.0,0.0025,0.5,4.0,2.261993054754397
29,1.0,1.0,0.0025,0.5,5.0,1.9095569080574921
30,1.0,1.0,0.0025,2.875,1.0,2.095324570387592
31,1.0,1.0,0.0025,2.875,2.0,2.3075905950484685
32,1.0,1.0,0.0025,2.875,3.0,2.0617875909929895
33,1.0,1.0,0.0025,2.875,4.0,2.6527994416354166
34,1.0,1.0,0.0025,2.875,5.0,2.176146206551608
35,1.0,1.0,0.0025,5.25,1.0,2.2995293157780896
36,1.0,1.0,0.0025,5.25,2.0,2.194591712990765
37,1.0,1.0,0.0025,5.25,3.0,2.0123741863288274
38,1.0,1.0,0.0025,5.25,4.0,2.1519932510493502
39,1.0,1.0,0.0025,5.25,5.0,1.8943522103489172
40,1.0,1.0,0.0025,7.625,1.0,2.0569420205159035
41,1.0,1.0,0.0025,7.625,2.0,1.8799578983752525
42,1.0,1.0,0.0025,7.625,3.0,2.36201317951206
43,1.0,1.0,0.0025,7.625,4.0,1.977937077743301
44,1.0,1.0,0.0025,7.625,5.0,1.8449066170212958
45,1.0,1.0,0.0025,10.0,1.0,2.295678198937827
46,1.0,1.0,0.0025,10.0,2.0,2.381653253510453
47,1.0,1.0,0.0025,10.0,3.0,2.296977483821735
48,1.0,1.0,0.0025,10.0,4.0,2.327772763756763
49,1.0,1.0,0.0025,10.0,5.0,1.9679387036916058
50,1.0,1.0,0.005,0.5,1.0,2.2303821435823834
51,1.0,1.0,0.005,0.5,2.0,2.0712986622066345
52,1.0,1.0,0.005,0.5,3.0,2.042932760218554
53,1.0,1.0,0.005,0.5,4.0,1.972929183221003
54,1.0,1.0,0.005,0.5,5.0,2.246108466060378
55,1.0,1.0,0.005,2.875,1.0,2.057365296374381
56,1.0,1.0,0.005,2.875,2.0,2.284222760960395
57,1.0,1.0,0.005,2.875,3.0,1.9917634956191717
58,1.0,1.0,0.005,2.875,4.0,2.341402552448364
59,1.0,1.0,0.005,2.875,5.0,2.0355298114248304
60,1.0,1.0,0.005,5.25,1.0,2.1339378222930905
61,1.0,1.0,0.005,5.25,2.0,1.743600852360084
62,1.0,1.0,0.005,5.25,3.0,2.379675638519024
63,1.0,1.0,0.005,5.25,4.0,1.901790201218661
64,1.0,1.0,0.005,5.25,5.0,2.3805130198885243
65,1.0,1.0,0.005,7.625,1.0,1.8191776053631064
66,1.0,1.0,0.005,7.625,2.0,2.2437671293434263
67,1.0,1.0,0.005,7.625,3.0,2.2923358846100315
68,1.0,1.0,0.005,7.625,4.0,2.2073010098122285
69,1.0,1.0,0.005,7.625,5.0,2.4481272710355335
70,1.0,1.0,0.005,10.0,1.0,2.0132615384663204
71,1.0,1.0,0.005,10.0,2.0,2.07467635766137
